instruction,input,output
"you are an urdu/hindi shayar/kavi/poet and you have to complete the following shayari/kavita, respond only in romanized urdu/hindi, make sure you are creative and talk about something profound and beautiful",ba-nala hasil-e-dil-bastagi faraham kar,ba-nāla hāsil-e-dil-bastagī farāham kar matā-e-ḳhāna-e-zanjīr juz sadā ma.alūm ba-qadr-e-hausla-e-ishq jalva-rezī hai vagarna ḳhāna-e-ā.īna kī fazā ma.alūm 'asad' farefta-e-intiḳhāb-e-tarz-e-jafā vagarna dilbarī-e-vāda-e-vafā ma.alūm ba-nala hasil-e-dil-bastagi faraham kar mata-e-KHana-e-zanjir juz sada malum ba-qadr-e-hausla-e-ishq jalwa-rezi hai wagarna KHana-e-aina ki faza malum 'asad' farefta-e-intiKHab-e-tarz-e-jafa wagarna dilbari-e-wada-e-wafa malum 
"you are an urdu/hindi shayar/kavi/poet and you have to complete the following shayari/kavita, respond only in romanized urdu/hindi, make sure you are creative and talk about something profound and beautiful",gar na andoh-e-shab-e-furqat bayan ho jaega,gar na andoh-e-shab-e-furqat bayāñ ho jā.egā be-takalluf dāġh-e-mah mohr-e-dahāñ ho jā.egā zohra gar aisā hī shām-e-hijr meñ hotā hai aab partav-e-mahtāb sail-e-ḳhānumāñ ho jā.egā Interestingle to luuñ sote meñ us ke paañv kā bosa magar aisī bātoñ se vo kāfir bad-gumāñ ho jā.egā dil ko ham sarf-e-vafā samjhe the kyā ma.alūm thā ya.anī ye pahle hī nazr-e-imtihāñ ho jā.egā sab ke dil meñ hai jagah terī jo tū raazī huā mujh pe goyā ik zamāna mehrbāñ ho jā.egā Interestinggar nigāh-e-garm farmātī rahī tālīm-e-zabt sho.ala ḳhas meñ jaise ḳhuuñ rag meñ nihāñ ho jā.egā baaġh meñ mujh ko na le jā varna mere haal par har gul-e-tar ek chashm-e-ḳhūñ-fishāñ ho jā.egā Interestingvaa.e! gar merā tirā insāf mahshar meñ na ho ab talak to ye tavaqqo.a hai ki vaañ ho jā.egā fā.eda kyā soch āḳhir tū bhī daanā hai 'asad' dostī nādāñ kī hai jī kā ziyāñ ho jā.egā gar na andoh-e-shab-e-furqat bayan ho jaega be-takalluf dagh-e-mah mohr-e-dahan ho jaega zohra gar aisa hi sham-e-hijr mein hota hai aab partaw-e-mahtab sail-e-KHanuman ho jaega Interestingle to lun sote mein us ke panw ka bosa magar aisi baaton se wo kafir bad-guman ho jaega dil ko hum sarf-e-wafa samjhe the kya malum tha yani ye pahle hi nazr-e-imtihan ho jaega sab ke dil mein hai jagah teri jo tu raazi hua mujh pe goya ek zamana mehrban ho jaega Interestinggar nigah-e-garm farmati rahi talim-e-zabt shoala KHas mein jaise KHun rag mein nihan ho jaega bagh mein mujh ko na le ja warna mere haal par har gul-e-tar ek chashm-e-KHun-fishan ho jaega Interestingwae! gar mera tera insaf mahshar mein na ho ab talak to ye tawaqqoa hai ki wan ho jaega faeda kya soch aaKHir tu bhi dana hai 'asad' dosti nadan ki hai ji ka ziyan ho jaega 
"you are an urdu/hindi shayar/kavi/poet and you have to complete the following shayari/kavita, respond only in romanized urdu/hindi, make sure you are creative and talk about something profound and beautiful",hai aarmidagi mein nikohish baja mujhe,hai ārmīdagī meñ nikohish bajā mujhe sub.h-e-vatan hai ḳhanda-e-dandāñ-numā mujhe DhūñDe hai us muġhanni-e-ātish-nafas ko jī jis kī sadā ho jalva-e-barq-e-fanā mujhe mastāna tai karūñ huuñ rah-e-vādi-e-ḳhayāl tā bāz-gasht se na rahe mudda.ā mujhe kartā hai bas-ki baaġh meñ tū be-hijābiyāñ aane lagī hai nik.hat-e-gul se hayā mujhe khultā kisī pe kyuuñ mire dil kā mo.āmla sheroñ ke intiḳhāb ne rusvā kiyā mujhe vaañ rañg-hā ba-parda-e-tadbīr haiñ hunūz yaañ shola-e-charāġh hai barg-e-hinā mujhe parvāz-hā niyāz-e-tamāshā-e-husn-e-dost bāl-e-kushāda hai nigah-e-āshnā mujhe az-ḳhud-guzashtagī meñ ḳhamoshī pe harf hai mauj-e-ġhubār-e-surma huī hai sadā mujhe tā chand past fitrati-e-tab-e-ārzū yā rab mile bulandī-e-dast-e-duā mujhe maiñ ne junūñ se kī jo 'asad' iltimās-e-rañg ḳhūn-e-jigar meñ ek hī ġhota diyā mujhe hai pech-tāb rishta-e-sham-e-sahar-gahī ḳhajlat gudāzī-e-nafas-e-nā-rasā mujhe yaañ āb-o-dāna mausam-e-gul meñ harām hai zunnār-e-vā-gusista hai mauj-e-sabā mujhe yakbār imtihān-e-havas bhī zarūr hai ai josh-e-ishq bāda-e-mard-āzmā mujhe hai aarmidagi mein nikohish baja mujhe subh-e-watan hai KHanda-e-dandan-numa mujhe DhunDe hai us mughanni-e-atish-nafas ko ji jis ki sada ho jalwa-e-barq-e-fana mujhe mastana tai karun hun rah-e-wadi-e-KHayal ta baz-gasht se na rahe muddaa mujhe karta hai bas-ki bagh mein tu be-hijabiyan aane lagi hai nikhat-e-gul se haya mujhe khulta kisi pe kyun mere dil ka moamla sheron ke intiKHab ne ruswa kiya mujhe wan rang-ha ba-parda-e-tadbir hain hunuz yan shola-e-charagh hai barg-e-hina mujhe parwaz-ha niyaz-e-tamasha-e-husn-e-dost baal-e-kushada hai nigah-e-ashna mujhe az-KHud-guzashtagi mein KHamoshi pe harf hai mauj-e-ghubar-e-surma hui hai sada mujhe ta chand past fitrati-e-tab-e-arzu ya rab mile bulandi-e-dast-e-dua mujhe main ne junun se ki jo 'asad' iltimas-e-rang KHun-e-jigar mein ek hi ghota diya mujhe hai pech-tab rishta-e-sham-e-sahar-gahi KHajlat gudazi-e-nafas-e-na-rasa mujhe yan aab-o-dana mausam-e-gul mein haram hai zunnar-e-wa-gusista hai mauj-e-saba mujhe yakbar imtihan-e-hawas bhi zarur hai ai josh-e-ishq baada-e-mard-azma mujhe 
"you are an urdu/hindi shayar/kavi/poet and you have to complete the following shayari/kavita, respond only in romanized urdu/hindi, make sure you are creative and talk about something profound and beautiful",qayamat hai ki sun laila ka dasht-e-qais mein aana,qayāmat hai ki sun lailā kā dasht-e-qais meñ aanā ta.ajjub se vo bolā yuuñ bhī hotā hai zamāne meñ dil-e-nāzuk pe us ke rahm aatā hai mujhe 'ġhālib' na kar sargarm us kāfir ko ulfat āzmāne meñ qayamat hai ki sun laila ka dasht-e-qais mein aana tajjub se wo bola yun bhi hota hai zamane mein dil-e-nazuk pe us ke rahm aata hai mujhe 'ghaalib' na kar sargarm us kafir ko ulfat aazmane mein 
"you are an urdu/hindi shayar/kavi/poet and you have to complete the following shayari/kavita, respond only in romanized urdu/hindi, make sure you are creative and talk about something profound and beautiful",ek ja harf-e-wafa likkha tha so bhi miT gaya,ek jā harf-e-vafā likkhā thā so bhī miT gayā zāhiran kāġhaz tire ḳhat kā ġhalat-bar-dār hai jī jale zauq-e-fanā kī nā-tamāmī par na kyuuñ ham nahīñ jalte nafas har chand ātish-bār hai aag se paanī meñ bujhte vaqt uThtī hai sadā har koī darmāndagī meñ naale se nā-chār hai hai vahī bad-masti-e-har-zarra kā ḳhud uzr-ḳhvāh jis ke jalve se zamīñ tā āsmāñ sarshār hai mujh se mat kah tū hameñ kahtā thā apnī zindagī zindagī se bhī mirā jī in dinoñ be-zār hai aañkh kī tasvīr sar-nāme pe khīñchī hai ki tā tujh pe khul jaave ki is ko hasrat-e-dīdār hai ek ja harf-e-wafa likkha tha so bhi miT gaya zahiran kaghaz tere KHat ka ghalat-bar-dar hai ji jale zauq-e-fana ki na-tamami par na kyun hum nahin jalte nafas har chand aatish-bar hai aag se pani mein bujhte waqt uThti hai sada har koi darmandagi mein nale se na-chaar hai hai wahi bad-masti-e-har-zarra ka KHud uzr-KHwah jis ke jalwe se zamin ta aasman sarshaar hai mujh se mat kah tu hamein kahta tha apni zindagi zindagi se bhi mera ji in dinon be-zar hai aankh ki taswir sar-name pe khinchi hai ki ta tujh pe khul jawe ki is ko hasrat-e-didar hai 
"you are an urdu/hindi shayar/kavi/poet and you have to complete the following shayari/kavita, respond only in romanized urdu/hindi, make sure you are creative and talk about something profound and beautiful",az-mehr ta-ba-zarra dil-o-dil hai aaina,az-mehr tā-ba-zarra dil-o-dil hai aa.ina tuutī ko shash-jihat se muqābil hai aa.ina hairat hujūm-e-lazzat-e-ġhaltānī-e-tapish sīmāb-e-bālish o kamar-e-dil hai aa.ina ġhaflat ba-bāl-e-jauhar-e-shamshīr par-fishāñ yaañ pusht-e-chashm-e-shoḳhī-e-qātil hai aa.ina hairat-nigāh-e-barq-e-tamāshā bahār-e-shoḳh dar-parda-e-havā par-e-bismil hai aa.ina yaañ rah ga.e haiñ nāḳhun-e-tadbīr TuuT kar jauhar-tilism-e-uqda-e-mushkil hai aa.ina ham-zānū-e-ta.ammul o ham-jalva-gāh-e-gul ā.īna-band ḳhalvat-o-mahfil hai aa.ina dil kār-gāh-e-fikr o 'asad' be-navā-e-dil yaañ sañg-e-āstāna-e-'bedil' hai aa.ina az-mehr ta-ba-zarra dil-o-dil hai aaina tuti ko shash-jihat se muqabil hai aaina hairat hujum-e-lazzat-e-ghaltani-e-tapish simab-e-baalish o kamar-e-dil hai aaina ghaflat ba-baal-e-jauhar-e-shamshir par-fishan yan pusht-e-chashm-e-shoKHi-e-qatil hai aaina hairat-nigah-e-barq-e-tamasha bahaar-e-shoKH dar-parda-e-hawa par-e-bismil hai aaina yan rah gae hain naKHun-e-tadbir TuT kar jauhar-tilism-e-uqda-e-mushkil hai aaina ham-zanu-e-tammul o ham-jalwa-gah-e-gul aaina-band KHalwat-o-mahfil hai aaina dil kar-gah-e-fikr o 'asad' be-nawa-e-dil yan sang-e-astana-e-'bedil' hai aaina 
"you are an urdu/hindi shayar/kavi/poet and you have to complete the following shayari/kavita, respond only in romanized urdu/hindi, make sure you are creative and talk about something profound and beautiful",dil laga kar lag gaya un ko bhi tanha baiThna,dil lagā kar lag gayā un ko bhī tanhā baiThnā baare apnī bekasī kī ham ne paa.ī daad yaañ haiñ zavāl-āmāda ajzā āfrīnash ke tamām mahr-e-gardūñ hai charāġh-e-rahguzār-e-bād yaañ hai tarahhum-āfrīñ ārā.ish-e-be-dād yaañ ashk-e-chashm-e-dām hai har dāna-e-sayyād yaañ Interestinghai gudāz-e-mom andāz-e-chakīdan-hā-e-ḳhūñ nīsh-e-zambūr-e-asal hai nashtar-e-fassād yaañ nā-gavārā hai hameñ ehsān-e-sāhab-daulatāñ hai zar-e-gul bhī nazar meñ jauhar-e-faulād yaañ jumbish-e-dil se hue haiñ uqda-hā-e-kār vā kam-tarīñ mazdūr-e-sañgīñ-dast hai farhād yaañ qatra-hā-e-ḳhūn-e-bismil zeb-e-dāmāñ haiñ 'asad' hai tamāsha kardanī gul-chīnī-e-jallād yaañ dil laga kar lag gaya un ko bhi tanha baiThna bare apni bekasi ki hum ne pai dad yan hain zawal-amada ajza aafrinash ke tamam mahr-e-gardun hai charagh-e-rahguzar-e-baad yan hai tarahhum-afrin aaraish-e-be-dad yan ashk-e-chashm-e-dam hai har dana-e-sayyaad yan Interestinghai gudaz-e-mom andaz-e-chakidan-ha-e-KHun nish-e-zambur-e-asal hai nashtar-e-fassad yan na-gawara hai hamein ehsan-e-sahab-daulatan hai zar-e-gul bhi nazar mein jauhar-e-faulad yan jumbish-e-dil se hue hain uqda-ha-e-kar wa kam-tarin mazdur-e-sangin-dast hai farhad yan qatra-ha-e-KHun-e-bismil zeb-e-daman hain 'asad' hai tamasha kardani gul-chini-e-jallad yan 
"you are an urdu/hindi shayar/kavi/poet and you have to complete the following shayari/kavita, respond only in romanized urdu/hindi, make sure you are creative and talk about something profound and beautiful",shabnam ba-gul-e-lala na Khaali z-ada hai,shabnam ba-gul-e-lāla na ḳhālī z-adā hai dāġh-e-dil-e-bedard nazar-gāh-e-hayā hai dil ḳhūñ-shuda-e-kashmakash-e-hasrat-e-dīdār ā.īna ba-dast-e-but-e-bad-mast hinā hai shole se na hotī havas-e-shola ne jo kī jī kis qadar afsurdagi-e-dil pe jalā hai timsāl meñ terī hai vo shoḳhī ki ba-sad-zauq ā.īna ba-andāz-e-gul āġhosh-kushā hai qumrī kaf-e-ḳhākistar o bulbul qafas-e-rañg ai naala nishān-e-jigar-e-soḳhta kyā hai ḳhū ne tirī afsurda kiyā vahshat-e-dil ko māshūqī o be-hauslagī tarfa balā hai majbūrī o dāvā-e-giraftāri-e-ulfat dast-e-tah-e-sañg-āmda paimān-e-vafā hai mālūm huā hāl-e-shahīdān-e-guzashta teġh-e-sitam ā.īna-e-tasvīr-numā hai ai partav-e-ḳhurshīd-e-jahāñ-tāb idhar bhī saa.e kī tarah ham pe ajab vaqt paḌā hai nā-karda gunāhoñ kī bhī hasrat kī mile daad yā rab agar in karda gunāhoñ kī sazā hai begānagī-e-ḳhalq se be-dil na ho 'ġhālib' koī nahīñ terā to mirī jaan ḳhudā hai shabnam ba-gul-e-lala na KHali z-ada hai dagh-e-dil-e-bedard nazar-gah-e-haya hai dil KHun-shuda-e-kashmakash-e-hasrat-e-didar aaina ba-dast-e-but-e-bad-mast hina hai shole se na hoti hawas-e-shola ne jo ki ji kis qadar afsurdagi-e-dil pe jala hai timsal mein teri hai wo shoKHi ki ba-sad-zauq aaina ba-andaz-e-gul aaghosh-kusha hai qumri kaf-e-KHakistar o bulbul qafas-e-rang ai nala nishan-e-jigar-e-soKHta kya hai KHu ne teri afsurda kiya wahshat-e-dil ko mashuqi o be-hauslagi tarfa bala hai majburi o dawa-e-giraftari-e-ulfat dast-e-tah-e-sang-amda paiman-e-wafa hai malum hua haal-e-shahidan-e-guzashta tegh-e-sitam aaina-e-taswir-numa hai ai partaw-e-KHurshid-e-jahan-tab idhar bhi sae ki tarah hum pe ajab waqt paDa hai na-karda gunahon ki bhi hasrat ki mile dad ya rab agar in karda gunahon ki saza hai beganagi-e-KHalq se be-dil na ho 'ghaalib' koi nahin tera to meri jaan KHuda hai 
"you are an urdu/hindi shayar/kavi/poet and you have to complete the following shayari/kavita, respond only in romanized urdu/hindi, make sure you are creative and talk about something profound and beautiful",arz-e-naz-e-shoKHi-e-dandan barae-KHanda hai,arz-e-nāz-e-shoḳhi-e-dandāñ barā.e-ḳhanda hai dāvā-e-jamiyat-e-ahbāb jā-e-ḳhanda hai hai adam meñ ġhuncha mahv-e-ibrat-e-anjām-e-gul yak-jahāñ zaanū ta.ammul dar-qafā-e-ḳhanda hai kulfat-e-afsurdagī ko aish-e-betābī harām varna dandāñ dar dil afshurdan binā-e-ḳhanda hai shorish-e-bātin ke haiñ ahbāb munkir varna yaañ dil muhīt-e-girya o lab āshnā-e-ḳhanda hai ḳhud-faroshī-hā-e-hastī bas-ki jā-e-ḳhanda hai har shikast-e-qīmat-e-dil meñ sadā-e-ḳhanda hai naqsh-e-ibrat dar nazar yā naqd-e-ishrat dar bisāt do-jahāñ vus.at ba-qadr-e-yak-fa.zā-e-ḳhanda hai jā-e-istihzā hai ishrat-koshi-e-hastī 'asad' sub.h o shabnam fursat-e-nashv-o-numā-e-ḳhanda hai arz-e-naz-e-shoKHi-e-dandan barae-KHanda hai dawa-e-jamiyat-e-ahbab ja-e-KHanda hai hai adam mein ghuncha mahw-e-ibrat-e-anjam-e-gul yak-jahan zanu tammul dar-qafa-e-KHanda hai kulfat-e-afsurdagi ko aish-e-betabi haram warna dandan dar dil afshurdan bina-e-KHanda hai shorish-e-baatin ke hain ahbab munkir warna yan dil muhit-e-girya o lab aashna-e-KHanda hai KHud-faroshi-ha-e-hasti bas-ki ja-e-KHanda hai har shikast-e-qimat-e-dil mein sada-e-KHanda hai naqsh-e-ibrat dar nazar ya naqd-e-ishrat dar bisat do-jahan wusat ba-qadr-e-yak-faza-e-KHanda hai ja-e-istihza hai ishrat-koshi-e-hasti 'asad' subh o shabnam fursat-e-nashw-o-numa-e-KHanda hai 
"you are an urdu/hindi shayar/kavi/poet and you have to complete the following shayari/kavita, respond only in romanized urdu/hindi, make sure you are creative and talk about something profound and beautiful",naqsh-e-naz-e-but-e-tannaz ba-aghosh-e-raqib,naqsh-e-nāz-e-but-e-tannāz ba-āġhosh-e-raqīb pā-e-tā.ūs pa.e-ḳhāma-e-mānī māñge tū vo bad-ḳhū ki tahayyur ko tamāshā jaane ġham vo afsāna ki āshufta-bayānī māñge vo tap-e-ishq-e-tamannā hai ki phir sūrat-e-sham.a sho.ala tā-nabz-e-jigar resha-davānī māñge InterestingInterestingtishna-e-ḳhūn-e-tamāshā jo vo paanī māñge aa.ina ruḳhsat-e-andāz-e-ravānī māñge Interestingrañg ne gul se dam-e-arz-e-pareshānī-e-bazm barg-e-gul reza-e-mīnā kī nishānī māñge zulf tahrīr-e-pareshān-e-taqāzā hai magar shāna-sāñ mū-ba-zabāñ ḳhāma-e-mānī māñge āmad-e-ḳhat se na kar ḳhanda-e-shīrīñ ki mabād chashm-e-mor ā.īna-e-dil nigarānī māñge huuñ giraftār-e-kamīñ-gāh-e-taġhāful ki jahāñ ḳhvāb sayyād se parvāz-e-girānī māñge chashm parvāz o nafas ḳhufta magar zo.af-e-umīd shahpar-e-kāh pa.e-muzhda-risānī māñge vahshat-e-shor-e-tamāshā hai ki juuñ nik.hat-e-gul namak-e-zaḳhm-e-jigar bāl-fishānī māñge gar mile hazrat-e-'bedil' kā ḳhat-e-lauh-e-mazār 'asad' ā.īn-e-parvāz-e-ma.ānī māñge rañg ne gul se dam-e-arz-e-pareshānī-e-bazm barg-e-gul reza-e-mīnā kī nishānī māñge naqsh-e-naz-e-but-e-tannaz ba-aghosh-e-raqib pa-e-taus pae-KHama-e-mani mange tu wo bad-KHu ki tahayyur ko tamasha jaane gham wo afsana ki aashufta-bayani mange wo tap-e-ishq-e-tamanna hai ki phir surat-e-shama shoala ta-nabz-e-jigar resha-dawani mange InterestingInterestingtishna-e-KHun-e-tamasha jo wo pani mange aaina ruKHsat-e-andaz-e-rawani mange Interestingrang ne gul se dam-e-arz-e-pareshani-e-bazm barg-e-gul reza-e-mina ki nishani mange zulf tahrir-e-pareshan-e-taqaza hai magar shana-san mu-ba-zaban KHama-e-mani mange aamad-e-KHat se na kar KHanda-e-shirin ki mabaad chashm-e-mor aaina-e-dil nigarani mange hun giraftar-e-kamin-gah-e-taghaful ki jahan KHwab sayyaad se parwaz-e-girani mange chashm parwaz o nafas KHufta magar zoaf-e-umid shahpar-e-kah pae-muzhda-risani mange wahshat-e-shor-e-tamasha hai ki jun nikhat-e-gul namak-e-zaKHm-e-jigar baal-fishani mange gar mile hazrat-e-'bedil' ka KHat-e-lauh-e-mazar 'asad' aain-e-parwaz-e-maani mange rang ne gul se dam-e-arz-e-pareshani-e-bazm barg-e-gul reza-e-mina ki nishani mange 
"you are an urdu/hindi shayar/kavi/poet and you have to complete the following shayari/kavita, respond only in romanized urdu/hindi, make sure you are creative and talk about something profound and beautiful",bagh pa kar KHafaqani ye Daraata hai mujhe,baaġh pā kar ḳhafaqānī ye Darātā hai mujhe sāya-e-shāḳh-e-gul af.ī nazar aatā hai mujhe jauhar-e-teġh ba-sar-chashma-e-dīgar mālūm huuñ maiñ vo sabza ki zahrāb ugātā hai mujhe mudda.ā mahv-e-tamāshā-e-shikast-e-dil hai ā.ina-ḳhāna meñ koī liye jaatā hai mujhe naala sarmāya-e-yak-ālam o aalam kaf-e-ḳhāk āsmāñ baiza-e-quamrī nazar aatā hai mujhe zindagī meñ to vo mahfil se uThā dete the dekhūñ ab mar ga.e par kaun uThātā hai mujhe baaġh tujh bin gul-e-nargis se Darātā hai mujhe chāhūñ gar sair-e-chaman aañkh dikhātā hai mujhe shor-e-timsāl hai kis rashk-e-chaman kā yā rab aa.ina baiza-e-bulbul nazar aatā hai mujhe hairat-e-ā.ina anjām-e-junūñ huuñ jyuuñ sham.a kis qadar dāġh-e-jigar shola uThātā hai mujhe maiñ huuñ aur hairat-e-jāved magar zauq-e-ḳhayāl ba-fusūn-e-nigah-e-nāz satātā hai mujhe hairat-e-fikr-e-suḳhan sāz-e-salāmat hai 'asad' dil pas-e-zānū-e-ā.īna biThātā hai mujhe bagh pa kar KHafaqani ye Daraata hai mujhe saya-e-shaKH-e-gul afi nazar aata hai mujhe jauhar-e-tegh ba-sar-chashma-e-digar malum hun main wo sabza ki zahrab ugata hai mujhe muddaa mahw-e-tamasha-e-shikast-e-dil hai aaina-KHana mein koi liye jata hai mujhe nala sarmaya-e-yak-alam o aalam kaf-e-KHak aasman baiza-e-quamri nazar aata hai mujhe zindagi mein to wo mahfil se uTha dete the dekhun ab mar gae par kaun uThata hai mujhe bagh tujh bin gul-e-nargis se Daraata hai mujhe chahun gar sair-e-chaman aankh dikhata hai mujhe shor-e-timsal hai kis rashk-e-chaman ka ya rab aaina baiza-e-bulbul nazar aata hai mujhe hairat-e-aina anjam-e-junun hun jyun shama kis qadar dagh-e-jigar shola uThata hai mujhe main hun aur hairat-e-jawed magar zauq-e-KHayal ba-fusun-e-nigah-e-naz satata hai mujhe hairat-e-fikr-e-suKHan saz-e-salamat hai 'asad' dil pas-e-zanu-e-aina biThata hai mujhe 
